Compte_key_Payeur,client_total_montant,client_moy_montant_cheque,client_max_montant_cheque,client_min_montant_cheque,client_freq_transactions,client_nb_operations_distinctes,client_recence,client_nb_paiements_fractionnes_records,client_score_fragmentation,Segment,pca1,pca2,Cluster_Hc_client,Niveau_Risque_hc_client,Cluster_Kmeans_client,Niveau_Risque_Kmeans_client
1250291,2229.998,313.33299999999997,350.0,276.666,7,2,63,2,3.5,Particulier,-0.5954995272807112,-0.40026551849912256,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1250306,5870.608,142.14866666666668,250.0,42.0,49,6,35,6,8.166666666666666,Particulier,0.9151299467412953,1.5702729568187648,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1250315,1634.185,233.455,233.455,233.455,7,1,29,1,7.0,Particulier,-0.7138184465805056,-0.4516680160948162,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1250610,583.509,38.90033333333333,38.901,38.9,15,3,104,3,5.0,Particulier,-0.3440964294613996,0.14014579469677396,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1250627,3890.0,207.5,400.0,140.0,22,4,27,4,5.5,Particulier,0.06130235912040444,0.4572546480159614,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1250628,71490.0,3457.5,10000.0,330.0,15,4,8,4,3.75,Particulier,1.773420897726265,-1.0319909094431192,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1250868,15536.0,149.95454545454547,785.0,30.0,144,21,0,22,6.857142857142857,Particulier,5.402977815583964,6.821931393386066,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251149,20640.0,840.0,1500.0,250.0,21,4,0,4,5.25,Particulier,0.3654403420914621,0.22273125924433237,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251182,606.597,202.199,202.199,202.199,3,1,6,1,3.0,Particulier,-0.9110178266365604,-0.692050999467478,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251463,3430.0,272.5,850.0,80.0,14,4,8,4,3.5,Particulier,-0.07963364871877482,0.18612939026772404,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251489,7700.0,390.0,600.0,150.0,20,5,0,5,4.0,Professional,0.24912503824218798,0.5414005312914749,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251497,1280.0,256.0,256.0,256.0,5,1,1,1,5.0,Particulier,-0.7981730274447186,-0.5849063293756831,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251723,150536.91,4739.852857142857,10000.0,178.97,29,7,76,7,4.142857142857143,Particulier,3.320304139101865,-0.31754785865082674,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251726,11730.0,1083.3333333333333,2500.0,330.0,15,3,216,3,5.0,Particulier,0.14365320571710638,-0.23766536267375288,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1251750,2546.0,239.0,278.0,200.0,10,2,62,2,5.0,Particulier,-0.5284299824058496,-0.2534239341535963,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1252051,160.0,40.0,40.0,40.0,4,1,312,1,4.0,Particulier,-0.9251056352638617,-0.5738592193952466,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1252057,3260.0,141.66666666666666,500.0,20.0,23,6,8,6,3.8333333333333335,Particulier,0.38974554060407407,0.8856149412765008,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657315,944.7,47.235,47.235,47.235,20,1,18,1,20.0,Particulier,-0.20199990696686645,0.432257854025053,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657316,210.0,70.0,70.0,70.0,3,1,384,1,3.0,Particulier,-0.9591528175293363,-0.6471063315754385,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657374,13500.0,1250.0,2000.0,500.0,12,2,125,2,6.0,Particulier,-0.05604264518866931,-0.48894839577857285,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657477,1035.2,258.8,258.8,258.8,4,1,4,1,4.0,Professional,-0.8437596932222365,-0.6485804386158404,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657494,10300.0,500.0,1100.0,100.0,39,4,18,4,9.75,Particulier,0.595515699931522,0.8645008182653648,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657544,655.456,163.864,163.864,163.864,4,1,519,1,4.0,Particulier,-0.8790552067216136,-0.6161593523821737,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657663,7680.0,330.0,345.0,315.0,23,3,0,3,7.666666666666667,Particulier,0.010380736549258432,0.2989252521414314,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657684,1633.225,148.475,148.475,148.475,11,2,204,2,5.5,Particulier,-0.5353854561370661,-0.18304000095181192,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657687,4567.0,547.25,1000.0,94.5,10,2,78,2,5.0,Particulier,-0.41740440385555677,-0.3373293256366119,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657689,1593.725,56.03928571428571,162.35,17.7,32,7,22,7,4.571428571428571,Particulier,0.6833879337992269,1.3576432742122515,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657729,3636.0,320.6666666666667,550.0,200.0,11,3,1,3,3.6666666666666665,Particulier,-0.3175164056791631,-0.09410398401884337,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657736,287.22,71.805,71.805,71.805,4,1,134,1,4.0,Particulier,-0.9132811028752241,-0.5847207750502329,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1657798,2159.1800000000003,63.265,103.06,50.0,40,4,238,4,10.0,Particulier,0.399173203622946,1.045386499538205,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671701,1649.7,274.95,339.9,210.0,6,2,22,2,3.0,Particulier,-0.6437195361636298,-0.4257184628835227,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671761,9000.0,3000.0,3000.0,3000.0,3,1,529,1,3.0,Particulier,0.10768977065842328,-1.643240015821729,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671802,1288.2,134.9,190.0,79.8,12,2,131,2,6.0,Particulier,-0.5139262564357375,-0.13419942917476238,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671880,3055.2,381.9,563.8,200.0,8,2,1,2,4.0,Particulier,-0.539140185480715,-0.37584620936703195,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671903,1284.66,142.74,142.74,142.74,9,1,426,1,9.0,Particulier,-0.658115156690227,-0.29449102176735903,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671912,4507.0,144.8,320.0,20.0,34,8,64,9,4.25,Particulier,1.0363188176312503,1.6996309270407055,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671950,4044.68,41.95166666666667,75.0,17.0,105,11,11,12,9.545454545454545,Particulier,2.8121326384198166,3.976681115800938,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1671977,4500.0,1500.0,1500.0,1500.0,3,1,110,1,3.0,Particulier,-0.43847537687797244,-1.1332739658662903,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672071,560.0,80.0,80.0,80.0,7,2,263,2,3.5,Particulier,-0.6870476426581981,-0.3214560151103192,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672112,2301.0,243.875,350.0,137.75,9,2,334,2,4.5,Particulier,-0.5602258014623738,-0.29177897796534324,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672136,3900.0,406.6666666666667,700.0,120.0,11,3,20,3,3.6666666666666665,Professional,-0.299781938870199,-0.10636611293595397,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672156,1923.27,320.545,320.545,320.545,6,1,13,1,6.0,Particulier,-0.7265583007863646,-0.5444280094156538,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672160,1750.0,350.0,350.0,350.0,5,1,258,1,5.0,Particulier,-0.7625043259415872,-0.617151332658937,0,Client Cluster HC 1,0,Client Cluster KMeans 1
